# Canonical UI label catalog (i18n) - PORTABLE SOURCE OF TRUTH.
#
# Applied at startup by UiTranslationSyncService to ANY active database
# (SQLite and PostgreSQL) through JPA: this mechanism keeps localizations
# aligned across the two engines.
#
# RULE: add every NEW UI key HERE, never in DemoDataRepository's
# seedLabelTranslations* methods (SQLite-only SQL, not run under the PostgreSQL profile).
#
# TSV format, one record per line, with seven TAB-separated fields:
#   key <TAB> description <TAB> it <TAB> en <TAB> fr <TAB> es <TAB> de
# All five languages are required and must be non-empty (verified by UiTranslationCatalogTest).
# Empty lines and lines starting with # are ignored. Values cannot contain TAB characters.
# Synchronization is ADDITIVE: it never overwrites translations already present in the database
# (changes made on the Labels page remain intact).
#
affinity.avoid	Livello compatibilità: da evitare	Da evitare	Avoid	À éviter	A evitar	Zu vermeiden
config.template.workingSchema	Titolo schema settimanale di lavoro	Schema settimanale di lavoro	Working weekly schema	Schéma hebdomadaire de travail	Esquema semanal de trabajo	Wöchentliches Arbeitsschema
config.title	Titolo pagina Configurazione	Configurazione	Configuration	Configuration	Configuración	Konfiguration
config.window.month	Opzione finestra Mese	Mese	Month	Mois	Mes	Monat
config.window.week	Opzione finestra Settimana	Settimana	Week	Semaine	Semana	Woche
confirm.applyTemplate	Conferma applicazione template	Sostituire i turni del periodo visibile con quelli del template? I turni esistenti nel periodo verranno eliminati.	Replace the shifts in the visible period with those from the template? Existing shifts in the period will be deleted.	Remplacer les quarts de la période visible par ceux du modèle ? Les quarts existants dans la période seront supprimés.	¿Sustituir los turnos del período visible por los de la plantilla? Los turnos existentes en el período se eliminarán.	Die Schichten im sichtbaren Zeitraum durch die aus der Vorlage ersetzen? Vorhandene Schichten im Zeitraum werden gelöscht.
confirm.deleteDateMessage	Messaggio conferma elimina fascia oraria	Eliminare questa fascia oraria?	Delete this time range?	Supprimer cette plage horaire ?	¿Eliminar esta franja horaria?	Diesen Zeitbereich löschen?
confirm.deleteDateTitle	Titolo conferma elimina data	Elimina Data	Delete Date	Supprimer la date	Eliminar fecha	Datum löschen
confirm.deleteEmployee	Conferma eliminazione dipendente	Sei sicuro di voler eliminare questo operatore?	Are you sure you want to delete this operator?	Êtes-vous sûr de vouloir supprimer cet opérateur ?	¿Está seguro de eliminar este operador?	Möchten Sie diesen Mitarbeiter wirklich löschen?
confirm.deleteEmployeeMessage	Messaggio conferma elimina operatore	Eliminare questo operatore?	Delete this operator?	Supprimer cet opérateur ?	¿Eliminar este operador?	Diesen Mitarbeiter löschen?
confirm.deleteEmployeeTitle	Titolo conferma elimina dipendente	Elimina Operatore	Delete Operator	Supprimer l'opérateur	Eliminar operador	Mitarbeiter löschen
confirm.deleteLabel	Conferma eliminazione etichetta	Eliminare questa etichetta e tutte le sue traduzioni?	Delete this label and all its translations?	Supprimer cette étiquette et toutes ses traductions?	¿Eliminar esta etiqueta y todas sus traducciones?	Diese Beschriftung und alle Übersetzungen löschen?
confirm.deleteLanguage	Conferma eliminazione lingua	Eliminare questa lingua?	Delete this language?	Supprimer cette langue?	¿Eliminar este idioma?	Diese Sprache löschen?
confirm.deleteLocation	Conferma eliminazione sede	Sei sicuro di voler eliminare questo luogo?	Are you sure you want to delete this location?	Êtes-vous sûr de vouloir supprimer ce lieu?	¿Está seguro de eliminar esta ubicación?	Möchten Sie diesen Ort wirklich löschen?
confirm.deleteLocationMessage	Messaggio conferma elimina sede	Eliminare questa sede?	Delete this location?	Supprimer ce lieu ?	¿Eliminar esta ubicación?	Diesen Standort löschen?
confirm.deleteLocationTitle	Titolo conferma elimina sede	Elimina Sede	Delete Location	Supprimer le lieu	Eliminar ubicación	Standort löschen
confirm.deletePrefix	Prefisso conferma eliminazione con nome	Sei sicuro di voler eliminare	Are you sure you want to delete	Voulez-vous vraiment supprimer	¿Seguro que desea eliminar	Möchten Sie wirklich löschen:
confirm.deleteSavedTemplate	Conferma eliminazione template salvato	Eliminare questo template salvato?	Delete this saved template?	Supprimer ce modèle enregistré ?	¿Eliminar esta plantilla guardada?	Diese gespeicherte Vorlage löschen?
confirm.deleteShiftMessage	Messaggio conferma elimina turno	Eliminare questo turno?	Delete this shift?	Supprimer ce quart ?	¿Eliminar este turno?	Diese Schicht löschen?
confirm.deleteShiftTitle	Titolo conferma elimina turno	Elimina Turno	Delete Shift	Supprimer le quart	Eliminar turno	Schicht löschen
confirm.deleteSkill	Conferma eliminazione skill	Sei sicuro di voler eliminare questa skill?	Are you sure you want to delete this skill?	Êtes-vous sûr de vouloir supprimer cette compétence?	¿Está seguro de eliminar esta habilidad?	Möchten Sie diese Kompetenz wirklich löschen?
confirm.deleteSpecialistTitle	Titolo conferma eliminazione Specialista	Elimina Specialista	Delete Specialist	Supprimer Spécialiste	Eliminar Especialista	Spezialist löschen
confirm.deleteStructure	Conferma eliminazione struttura	Eliminare questa struttura?	Delete this structure?	Supprimer cette structure?	¿Eliminar esta estructura?	Diese Struktur löschen?
confirm.saveToTemplate	Conferma sostituzione template dalla settimana	Sostituire il template settimanale con i turni della settimana visibile? Vengono salvati solo i turni (senza operatori assegnati).	Replace the weekly template with the visible week's shifts? Only shifts are saved (without assigned operators).	Remplacer le modèle hebdomadaire par les quarts de la semaine visible ? Seuls les quarts sont enregistrés (sans opérateurs affectés).	¿Sustituir la plantilla semanal por los turnos de la semana visible? Solo se guardan los turnos (sin operadores asignados).	Die Wochenvorlage durch die Schichten der sichtbaren Woche ersetzen? Es werden nur die Schichten gespeichert (ohne zugewiesene Operatoren).
confirm.title	Titolo dialog conferma	Conferma	Confirm	Confirmer	Confirmar	Bestätigen
constraint.at_least_10_hours_between_2_shifts	Vincolo almeno 10 ore tra 2 turni	Almeno 10 ore tra 2 turni	At least 10 hours between 2 shifts	Au moins 10 heures entre 2 quarts	Al menos 10 horas entre 2 turnos	Mindestens 10 Stunden zwischen 2 Schichten
constraint.balance_employee_shift_assignments	Vincolo bilanciamento assegnazioni turni	Bilanciamento assegnazioni turni	Balance operator shift assignments	Équilibrage des affectations de quarts	Equilibrio de asignaciones de turnos	Ausgleich der Schichtzuweisungen
constraint.desired_day_for_employee	Vincolo giorno desiderato per dipendente	Giorno desiderato per operatore	Desired day for operator	Jour souhaité pour l'opérateur	Día deseado para el operador	Gewünschter Tag für Mitarbeiter
constraint.max_one_shift_per_day	Vincolo massimo un turno al giorno	Massimo un turno al giorno	Max one shift per day	Maximum un quart par jour	Máximo un turno por día	Maximal eine Schicht pro Tag
constraint.missing_required_skill	Vincolo competenza richiesta mancante	Competenza richiesta mancante	Missing required skill	Compétence requise manquante	Competencia requerida faltante	Erforderliche Fähigkeit fehlt
constraint.overlapping_shift	Vincolo turni sovrapposti	Turni sovrapposti	Overlapping shift	Quarts qui se chevauchent	Turnos superpuestos	Überlappende Schicht
constraint.unavailable_employee	Vincolo dipendente non disponibile	Operatore non disponibile	Unavailable operator	Opérateur indisponible	Operador no disponible	Nicht verfügbarer Mitarbeiter
constraint.undesired_day_for_employee	Vincolo giorno indesiderato per dipendente	Giorno indesiderato per operatore	Undesired day for operator	Jour indésirable pour l'opérateur	Día no deseado para el operador	Unerwünschter Tag für Mitarbeiter
ctx.addShift	Voce menu contestuale Aggiungi turno	Aggiungi turno	Add shift	Ajouter un quart	Añadir turno	Schicht hinzufügen
ctx.delete	Voce menu contestuale Elimina	Elimina	Delete	Supprimer	Eliminar	Löschen
ctx.deleteShift	Voce menu contestuale Elimina turno	Elimina turno	Delete shift	Supprimer le quart	Eliminar turno	Schicht löschen
ctx.edit	Voce menu contestuale Modifica	Modifica	Edit	Modifier	Editar	Bearbeiten
ctx.editShift	Voce menu contestuale Modifica turno	Modifica turno	Edit shift	Modifier le quart	Editar turno	Schicht bearbeiten
dateType.desired	Tab tipo data Preferito	Preferito	Desired	Souhaité	Deseado	Bevorzugt
dateType.unavailable	Tab tipo data Non Disponibile	Non Disponibile	Unavailable	Non Disponible	No Disponible	Nicht verfügbar
dateType.undesired	Tab tipo data Non Preferito	Non Preferito	Undesired	Non Souhaité	No Deseado	Nicht bevorzugt
dates.allDeleted	Toast: tutti i vincoli del dipendente eliminati	Vincoli eliminati.	Constraints deleted.	Contraintes supprimées.	Restricciones eliminadas.	Einschränkungen gelöscht.
dates.deleteAll	Tooltip: elimina tutti i vincoli del dipendente	Elimina tutti i vincoli	Delete all constraints	Supprimer toutes les contraintes	Eliminar todas las restricciones	Alle Einschränkungen löschen
dates.deleteAllMsg	Messaggio conferma eliminazione vincoli	Eliminare TUTTI i vincoli di data di	Delete ALL date constraints of	Supprimer TOUTES les contraintes de dates de	¿Eliminar TODAS las restricciones de fechas de	ALLE Datumseinschränkungen löschen von
dates.deleteAllTitle	Titolo conferma eliminazione vincoli	Elimina vincoli	Delete constraints	Supprimer les contraintes	Eliminar restricciones	Einschränkungen löschen
dates.noConstraints	Messaggio nessun dipendente con vincoli di data	Nessun operatore ha vincoli di data. Selezionane uno in alto per aggiungerli.	No operator has date constraints. Pick one above to add them.	Aucun opérateur n'a de contraintes de dates. Sélectionnez-en un ci-dessus pour en ajouter.	Ningún operador tiene restricciones de fechas. Selecciona uno arriba para añadirlas.	Kein Mitarbeiter hat Datumseinschränkungen. Wählen Sie oben einen aus, um welche hinzuzufügen.
dates.pickEmployee	Placeholder selettore dipendente (pagina date)	— Seleziona operatore —	— Select operator —	— Sélectionner un opérateur —	— Selecciona operador —	— Mitarbeiter wählen —
dates.title	Titolo pagina Preferenze date Dipendenti	Preferenze date Operatori	Operator Date Preferences	Préférences de dates des opérateurs	Preferencias de fechas de los operadores	Datumspräferenzen der Mitarbeiter
day.fri	Venerdì	Venerdì	Friday	Vendredi	Viernes	Freitag
day.fri.s	Ven (abbreviazione)	Ven	Fri	Ven	Vie	Fre
day.mon	Lunedì	Lunedì	Monday	Lundi	Lunes	Montag
day.mon.s	Lun (abbreviazione)	Lun	Mon	Lun	Lun	Mon
day.sat	Sabato	Sabato	Saturday	Samedi	Sábado	Samstag
day.sat.s	Sab (abbreviazione)	Sab	Sat	Sam	Sáb	Sam
day.sun	Domenica	Domenica	Sunday	Dimanche	Domingo	Sonntag
day.sun.s	Dom (abbreviazione)	Dom	Sun	Dim	Dom	Son
day.thu	Giovedì	Giovedì	Thursday	Jeudi	Jueves	Donnerstag
day.thu.s	Gio (abbreviazione)	Gio	Thu	Jeu	Jue	Don
day.tue	Martedì	Martedì	Tuesday	Mardi	Martes	Dienstag
day.tue.s	Mar (abbreviazione)	Mar	Tue	Mar	Mar	Die
day.wed	Mercoledì	Mercoledì	Wednesday	Mercredi	Miércoles	Mittwoch
day.wed.s	Mer (abbreviazione)	Mer	Wed	Mer	Mié	Mit
dowShort.fri	Ven (2 lettere)	Ve	Fr	Ve	Vi	Fr
dowShort.mon	Lun (2 lettere)	Lu	Mo	Lu	Lu	Mo
dowShort.sat	Sab (2 lettere)	Sa	Sa	Sa	Sa	Sa
dowShort.sun	Dom (2 lettere)	Do	Su	Di	Do	So
dowShort.thu	Gio (2 lettere)	Gi	Th	Je	Ju	Do
dowShort.tue	Mar (2 lettere)	Ma	Tu	Ma	Ma	Di
dowShort.wed	Mer (2 lettere)	Me	We	Me	Mi	Mi
email.smtpNotConfigured	Tooltip busta barrata: invio email disabilitato, SMTP non configurato	Invio email disabilitato: configura il server SMTP in Configurazione → Parametri Email.	Email sending disabled: configure the SMTP server in Configuration → Email Settings.	Envoi d'e-mails désactivé : configurez le serveur SMTP dans Configuration → Paramètres e-mail.	Envío de correos desactivado: configura el servidor SMTP en Configuración → Parámetros de correo.	E-Mail-Versand deaktiviert: SMTP-Server unter Konfiguration → E-Mail-Einstellungen einrichten.
emailSet.from	Etichetta campo mittente	Mittente	Sender	Expéditeur	Remitente	Absender
emailSet.fromPlaceholder	Placeholder campo mittente	Nome Visualizzato <indirizzo@esempio.com>	Display Name <address@example.com>	Nom Affiché <adresse@exemple.com>	Nombre Mostrado <direccion@ejemplo.com>	Anzeigename <adresse@beispiel.de>
emailSet.hint	Suggerimento sezione Parametri Email	Impostazioni del server SMTP per l'invio delle email. Le modifiche hanno effetto immediato; se il server non è configurato qui, viene usata la configurazione di avvio (.env).	SMTP server settings for sending emails. Changes take effect immediately; if no server is configured here, the startup configuration (.env) is used.	Paramètres du serveur SMTP pour l'envoi des e-mails. Les modifications prennent effet immédiatement ; si aucun serveur n'est configuré ici, la configuration de démarrage (.env) est utilisée.	Configuración del servidor SMTP para el envío de emails. Los cambios tienen efecto inmediato; si no se configura aquí, se usa la configuración de arranque (.env).	SMTP-Servereinstellungen für den E-Mail-Versand. Änderungen wirken sofort; ist hier kein Server konfiguriert, wird die Startkonfiguration (.env) verwendet.
emailSet.host	Etichetta campo server SMTP	Server SMTP	SMTP server	Serveur SMTP	Servidor SMTP	SMTP-Server
emailSet.password	Etichetta campo password SMTP	Password	Password	Mot de passe	Contraseña	Passwort
emailSet.passwordKept	Placeholder password salvata (write-only)	•••••• (lascia vuoto per non cambiarla)	•••••• (leave empty to keep it)	•••••• (laisser vide pour la conserver)	•••••• (déjala vacía para no cambiarla)	•••••• (leer lassen, um es zu behalten)
emailSet.port	Etichetta campo porta SMTP	Porta	Port	Port	Puerto	Port
emailSet.sendTest	Pulsante invio email di prova	Invia prova	Send test	Envoyer le test	Enviar prueba	Test senden
emailSet.test	Etichetta blocco email di prova	Email di prova	Test email	E-mail de test	Email de prueba	Test-E-Mail
emailSet.testHint	Suggerimento email di prova	Invia una email reale con le impostazioni correnti (salva prima le modifiche).	Sends a real email with the current settings (save your changes first).	Envoie un e-mail réel avec les paramètres actuels (enregistrez d'abord les modifications).	Envía un email real con la configuración actual (guarda antes los cambios).	Sendet eine echte E-Mail mit den aktuellen Einstellungen (Änderungen zuerst speichern).
emailSet.tls	Etichetta switch STARTTLS	STARTTLS	STARTTLS	STARTTLS	STARTTLS	STARTTLS
emailSet.username	Etichetta campo utente SMTP	Utente	Username	Utilisateur	Usuario	Benutzer
emailTpl.body	Etichetta campo Corpo del template email	Corpo	Body	Corps	Cuerpo	Text
emailTpl.insertPlaceholder	Etichetta chip inserimento segnaposto	Segnaposto:	Placeholders:	Espaces réservés :	Marcadores:	Platzhalter:
emailTpl.placeholdersHint	Suggerimento sui segnaposto del template email	I segnaposto verranno sostituiti con i dati reali al momento dell'invio.	Placeholders will be replaced with real data when the email is sent.	Les espaces réservés seront remplacés par les données réelles lors de l'envoi.	Los marcadores se sustituirán por los datos reales al enviar el correo.	Platzhalter werden beim Versand durch echte Daten ersetzt.
emailTpl.subject	Etichetta campo Oggetto del template email	Oggetto	Subject	Objet	Asunto	Betreff
emailTpl.subjectPlaceholder	Placeholder campo Oggetto del template email	Oggetto della mail…	Email subject…	Objet de l'e-mail…	Asunto del correo…	Betreff der E-Mail…
